sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
21663,Merricks Beach,2,Victoria,2GMEL,Greater Melbourne
21664,Merricks North,2,Victoria,2GMEL,Greater Melbourne
21668,Merrimu,2,Victoria,2GMEL,Greater Melbourne
21675,Mickleham,2,Victoria,2GMEL,Greater Melbourne
21677,Middle Park (Vic.),2,Victoria,2GMEL,Greater Melbourne
21683,Mill Park,2,Victoria,2GMEL,Greater Melbourne
21685,Millgrove,2,Victoria,2GMEL,Greater Melbourne
21706,Mitcham (Vic.),2,Victoria,2GMEL,Greater Melbourne
21714,Modella,2,Victoria,2GMEL,Greater Melbourne
21727,Monbulk,2,Victoria,2GMEL,Greater Melbourne
21728,Monegeetta,2,Victoria,2GMEL,Greater Melbourne
21731,Monomeith,2,Victoria,2GMEL,Greater Melbourne
21732,Mont Albert,2,Victoria,2GMEL,Greater Melbourne
21733,Mont Albert North,2,Victoria,2GMEL,Greater Melbourne
21735,Montmorency,2,Victoria,2GMEL,Greater Melbourne
21736,Montrose (Vic.),2,Victoria,2GMEL,Greater Melbourne
21742,Moonee Ponds,2,Victoria,2GMEL,Greater Melbourne
21746,Moorabbin,2,Victoria,2GMEL,Greater Melbourne
21747,Moorabbin Airport,2,Victoria,2GMEL,Greater Melbourne
21754,Moorooduc,2,Victoria,2GMEL,Greater Melbourne
21755,Mooroolbark,2,Victoria,2GMEL,Greater Melbourne
21760,Mordialloc,2,Victoria,2GMEL,Greater Melbourne
21763,Mornington (Vic.),2,Victoria,2GMEL,Greater Melbourne
21779,Mount Burnett,2,Victoria,2GMEL,Greater Melbourne
21786,Mount Cottrell,2,Victoria,2GMEL,Greater Melbourne
21787,Mount Dandenong,2,Victoria,2GMEL,Greater Melbourne
21793,Mount Eliza,2,Victoria,2GMEL,Greater Melbourne
21795,Mount Evelyn,2,Victoria,2GMEL,Greater Melbourne
21801,Mount Macedon,2,Victoria,2GMEL,Greater Melbourne
21803,Mount Martha,2,Victoria,2GMEL,Greater Melbourne
21814,Mount Toolebewong,2,Victoria,2GMEL,Greater Melbourne
21816,Mount Waverley,2,Victoria,2GMEL,Greater Melbourne
21827,Mulgrave (Vic.),2,Victoria,2GMEL,Greater Melbourne
21847,Murrindindi,2,Victoria,2GMEL,Greater Melbourne
21849,Murrumbeena,2,Victoria,2GMEL,Greater Melbourne
21859,Myrniong,2,Victoria,2GMEL,Greater Melbourne
21872,Nangana,2,Victoria,2GMEL,Greater Melbourne
21878,Nar Nar Goon,2,Victoria,2GMEL,Greater Melbourne
21879,Nar Nar Goon North,2,Victoria,2GMEL,Greater Melbourne
21880,Narbethong,2,Victoria,2GMEL,Greater Melbourne
21893,Narre Warren,2,Victoria,2GMEL,Greater Melbourne
21894,Narre Warren East,2,Victoria,2GMEL,Greater Melbourne
21895,Narre Warren North,2,Victoria,2GMEL,Greater Melbourne
21896,Narre Warren South,2,Victoria,2GMEL,Greater Melbourne
21921,New Gisborne,2,Victoria,2GMEL,Greater Melbourne
21927,Newham,2,Victoria,2GMEL,Greater Melbourne
21934,Newport (Vic.),2,Victoria,2GMEL,Greater Melbourne
21942,Niddrie,2,Victoria,2GMEL,Greater Melbourne
21952,Noble Park,2,Victoria,2GMEL,Greater Melbourne
21953,Noble Park North,2,Victoria,2GMEL,Greater Melbourne
21966,North Melbourne,2,Victoria,2GMEL,Greater Melbourne
